,Model_Boy,Model_Göğüs,Model_Bel,Model_Kalça,Model_Beden,Model_Kilo,Type,URL,Kumaş Tipi,Desen,Kalıp,Persona,Kol Tipi,Yaka Tipi,Renk,Kol Boyu,Boy,Siluet,Ortam,Paket İçeriği,Materyal Bileşeni,,Materyal,Koleksiyon,Stil,Boy / Ölçü,Yaş,Kapama Şekli,Cep,Ürün Detayı,Ürün Tipi,Kalınlık,Ek Özellik,Sürdürülebilirlik Detayı,Sezon,Astar Durumu,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Teknik,İçerik,Cep Tipi,Model,Alt-Üst Takım,Paça Tipi,Parça Sayısı,Bel
0,180,84,65,90,,,Dress,https://www.trendyol.com/jimmy-key/siyah-duz-kesim-bisiklet-yaka-kisa-kollu-orme-elbise-p-751620903,Dokuma,Düz,Regular,,Kolsuz,Bisiklet Yaka,Siyah,Kısa,Midi,A-line,Casual/Günlük,Tekli,"97% Polyester, 3% Elastan",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Polyester Karışımlı,Basic,Günlük,Midi,,,Cepsiz,,İpliği Boyalı,,,,,Astarsız,,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/my-cherie/arkasi-lastik-dekolteli-onu-deri-dantel-detayli-mini-ozel-kadin-elbise-siyah-p-806722394,Örme,Düz,Bele Oturan,Sexy,Askılı,Kalp Yaka,Siyah,Askılı,Mini,Skinny,Şık / gece,Tekli,,,Deri,,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Dantel/Mesh/File,Düz,İnce,Ek Özellik Mevcut Değil,Hayır,,Astarsız,Dantel,Baskısız,Kemersiz,Yok,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/munora-butik/kadin-kirmizi-ince-askili-drapeli-midi-abiye-elbise-ggcoco-p-265364500,Dokuma,Düz,Regular,Sexy,Standart Kol,Bisiklet Yaka,Kırmızı,Askılı,Mini,Bodycone,Casual/Günlük,Tekli,"97% Polyester, 3% Elastan",Type 1,Pamuk Polyester,Design,Gece,,,,Cepsiz,,Düz,İnce,Yırtmaçlı,,,,Kaşkorse,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/sari-etiket/desenli-kolye-detayli-katli-elbise-p-809967641,Dokuma,Desenli,Regular,,,,Kahverengi,,Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,S,56,Dress,https://www.trendyol.com/aski-nisantasi/beyaz-bisiklet-yaka-yarim-kol-elbise-p-815290461,Dokuma,Düz,Slim,Cool & Comfort,Standart Kol,Bisiklet Yaka,Beyaz,Kısa,Standart,Basic,Casual/Günlük,Tekli,,type 1,,Basic,Günlük,Regular,21 - 40 Yaş,Kapamasız,Cepsiz,,Düz,Orta,Ek Özellik Mevcut Değil,Hayır,AW,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/sb-collectionn/kadin-siyah-sirt-dekolte-yirtmacli-elbise-p-302734251,Örme,Düz,Slim Fit,Cool & Comfort,Askılı,Havuz Yaka,Siyah,Askılı,Midi,A-line,Günlük,Tekli,"92% Polyester, 8% Pamuk",Type 1,Pamuklu,Basic,Günlük,Midi,21 - 40 Yaş,,Cepsiz,Çapraz Bağlama,Düz,Orta,Yırtmaçlı,,,,Sandy,,,,,,,,,,
0,173,,,,,,Dress,https://www.trendyol.com/avones/kadin-gri-iclik-uzun-elbise-astari-p-346835184,Örme,Baskılı,Regular,Cool & Comfort,,Bisiklet Yaka,Gri,Uzun,Uzun,,Gündüz / Gece,Tekli,100% pamuklu,Type 1,Örme,Basic,Günlük,Uzun,Tüm Yaş Grupları,,Cepsiz,,Düz,İnce,,,,Astarsız,Süprem,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/zachariuz/yesil-kisa-kollu-yakasi-acik-kisa-elbise-p-737856925,Örme,Düz,Regular,Smart/Office,Kısa Kol,Kayık Yaka,Yeşil,Kısa,Standart,Slim,Casual/Günlük,Tekli,,,Polyester,Lisanslı,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Yıkamalı,Düz,İnce,Lisanslı,Organik,,Astarsız,Poplin,Baskısız,Kemersiz,,Polyester,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/bendistar-butik/mavi-pembe-cicekli-midi-boy-yirtmacli-elbise-p-274569148,Dokuma,Baskılı,Regular,Cool & Comfort,Askılı,Kalp Yaka,Mavi,Kısa,Midi,A-line,Casual/Günlük,Tekli,"95% Pamuk, 5% Polyester",Type 1,Polyester,Basic,Trend,Midi,Tüm Yaş Grupları,,Cepsiz,,Düz,Orta,Yırtmaçlı,,,Astarsız,,Baskısız,Kemersiz,,,,,,,,
0,Kalem,,,,,58,Dress,https://www.trendyol.com/lumuteks/siyah-midi-boy-kalem-elbise-p-686013406,Dokuma,Düz,Kalem,Cool & Comfort,Askılı,Bisiklet Yaka,Siyah,Kolsuz,Mini,Straight,,,,,,,Trend,Mini,,,,,,İnce,,Evet,,,,,Kemersiz,,,,,,,,
