,Model_Boy,Model_Göğüs,Model_Bel,Model_Kalça,Model_Beden,Model_Kilo,Type,URL,Kumaş Tipi,Desen,Kalıp,Persona,Kol Tipi,Yaka Tipi,Renk,Kol Boyu,Boy,Siluet,Ortam,Paket İçeriği,Materyal Bileşeni,,Materyal,Koleksiyon,Stil,Boy / Ölçü,Yaş,Kapama Şekli,Cep,Ürün Detayı,Ürün Tipi,Kalınlık,Ek Özellik,Sürdürülebilirlik Detayı,Sezon,Astar Durumu,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Teknik,İçerik,Cep Tipi,Model,Alt-Üst Takım,Paça Tipi,Parça Sayısı,Bel
0,170,82,61,,S,54,Dress,https://www.trendyol.com/khar/kadin-ispanyol-kol-detay-sortlu-sandy-elbise-p-783823444,Örme,Düz,Bele Oturan,Fashion Forward,İspanyol Kol,V Yaka,Beyaz,Uzun,Standart,A-line,Mezuniyet/Balo,Tekli,,Type1,Polyester Karışımlı,Party,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Astarlı,Düz,Orta,İç Göstermeyen,Hayır,,Astarlı,Sandy,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-siyah-kolsuz-etegi-firfirli-elbise-arm-18y001156-p-5982749,Dokuma,Düz,Relaxed,Traditional,Standart Kol,Bisiklet Yaka,Siyah,Kolsuz,Midi,Eteği Fırfırlı,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Christmas,Günlük,Midi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/cn-novembersun/kadin-siyah-vatkali-bisiklet-yaka-tisort-elbise-p-803181059,Dokuma,,Bele Oturan,,,,Siyah,,Standart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/defacto/a-kesim-polo-yaka-klos-triko-maxi-elbise-c4515ax24sm-p-811799140,Dokuma,Düz,Regular,,Standart Kol,V Yaka,Ekru,,Midi,A-line,,Tekli,"55% Pamuk, 45% Polyester",Type 1,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/mathilda/kadin-kristal-uzun-kollu-tasli-file-elbise-sik-gece-elbisesi-p-762671879,Örme,Yıldız,Regular,Cool & Comfort,Uzun Kol,,Siyah,Uzun,Uzun,,,Tekli,,Type 1,Polyester Karışımlı,,Trend,Maxi,Tüm Yaş Grupları,,Cepsiz,Dantel/Mesh/File,,İnce,Yırtmaçlı,Hayır,,Astarsız,File,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/grasses-black/kadin-kirmizi-askili-elbise-p-807165745,Örme,Düz,Bele Oturan,,Askılı,,Kırmızı,Askılı,Mini,,Günlük,,,,,,Günlük,Mini,,,,,Düz,İnce,,,,Astarsız,,,,,,,,,,,
0,120,72,66,,S),,Dress,https://www.trendyol.com/youlikebutik/tul-detayli-elbise-siyah-p-768468700,Dokuma,Düz,Slim,Fashion Forward,Uzun Kol,,Siyah,Uzun,Midi,Bodycone,Şık / gece,,100% Polyester,Type1,Tül,Business,Trend,Midi,,Kapamasız,Cepsiz,,Düz,İnce,,Hayır,,Astarlı,Tül,,Kemersiz,,,,,,,,
0,120,72,66,,S),,Dress,https://www.trendyol.com/buqre-s-moda/yeni-sezon-tek-omuz-desenli-tul-elbise-p-781661193,Örme,Varaklı,Slim,Cool & Comfort,Tek Kol,Kayık Yaka,Siyah,Uzun,Standart,Balık,Şık / gece,Tekli,100% Polyester,Type 1,Polyester Karışımlı,Basic,Gece,Midi,Tüm Yaş Grupları,Kapamasız,Cepsiz,Astarlı,İpliği Boyalı,Orta,İç Göstermeyen,,,Astarlı,Tül,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/deafox/krep-kumas-yesil-ince-askili-klos-elbise-p-314520428,Dokuma,Düz,Regular,Feminine,Standart Kol,V Yaka,Yeşil,Askılı,Midi,A-line,Düğün/Nikah,Tekli,"96% Polyester, 4% elastandır",Type 1,Krep,Basic,Günlük,Mini,21 - 40 Yaş,Kapamasız,Cepsiz,,Düz,İnce,İç Göstermeyen,Hayır,,Astarsız,Krep,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/luvita-co/degaje-yaka-elbise-p-726066883,Dokuma,Düz,Bele Oturan,Sexy,Askılı,Degaje Yaka,Pembe,Askılı,Mini,Bodycone,Şık / gece,Tekli,,Type 1,Poliamid Karışımlı,Party,Trend,Mini,Tüm Yaş Grupları,Bağcıklı,Cepsiz,Çapraz Bağlama,Düz,Orta,İç Göstermeyen,Hayır,,Astarlı,Buzzy,Baskısız,Kemersiz,,,,,,,,
0,1.75,85,65,93Elbise,,,Dress,https://www.trendyol.com/soyo/kadin-siyah-yirtmacli-ayarlanabilir-askili-mini-elbise-p-297404128,Örme,Düz,Fitted,Fashion Forward,Askılı,Sıfır Yaka,Siyah,Kolsuz,Mini,Bodycone,Günlük,Tekli,,Type 0,Viskon Karışımlı,Design,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Yırtmaçlı,Düz,Orta,Yırtmaçlı,Evet,,Astarsız,Micro,Baskısız,Kemersiz,,,,,,,,
0,120,72,66,,S),,Dress,https://www.trendyol.com/youlikebutik/tek-omuz-colorful-elbise-siyah-p-760037858,Belirtilmemiş,Düz,Slim,Fashion Forward,Tek Kol,Asimetrik Yaka,Siyah,Uzun,Standart,Bodycone,Şık / gece,Tekli,100% Polyester,T1,Polyester Karışımlı,Basic,Gece,Midi,Tüm Yaş Grupları,Kapamasız,Cepsiz,,,Orta,İç Göstermeyen,,,Astarlı,Tül,Dijital Baskı,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-mavi-v-yaka-kisa-kol-desenli-firfirli-elbise-arm-24y001014-p-822357022,Dokuma,,Regular,,Kısa Kol,V Yaka,Mavi,,Mini,,,,100% Viskoz,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/magaza/defacto-m-1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/defacto/a-kesim-polo-yaka-klos-triko-maxi-elbise-c4515ax24sm-p-811799140?merchantId=1188,Dokuma,Düz,Regular,,Standart Kol,V Yaka,Ekru,,Midi,A-line,,Tekli,"55% Pamuk, 45% Polyester",Type 1,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/defacto/bodycon-polo-yaka-fitilli-kaskorse-midi-kisa-kollu-elbise-p-693283263?merchantId=1188,Dokuma,Düz,Regular,,Standart Kol,V Yaka,Siyah,Kısa,Midi,A-line,Casual/Günlük,Tekli,"64% Polyester, 32% Viskoz, 4% Elastan",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,,,,,,,,,,,,,Fitilli,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/defacto/bodycon-fitilli-kaskorse-kisa-kollu-mini-elbise-c1503ax24sp-p-811229904?merchantId=1188,Dokuma,Düz,Regular,,Standart Kol,Bisiklet Yaka,Lacivert,Kısa,Mini,A-line,,Tekli,"99% Pamuk, 1% Elastan",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,,,,,,,,,,,,,Fitilli,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/defacto/gomlek-yaka-keten-gorunumlu-kisa-kollu-midi-elbise-u6943az23sm-p-666011975?merchantId=1188,Dokuma,Düz,Regular,,Standart Kol,Gömlek Yaka,Siyah,Kısa,Midi,A-line,Casual/Günlük,Tekli,"81% Viskoz, 19% Poliamid",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,Günlük,,,,,,,,,,,,Keten görünümlü,,,,,,,,,,
0,,Eni54,64,,,,Dress,https://www.trendyol.com/esrahelvaci/mor-askili-buzgulu-elbise-p-811392569,Dokuma,Desenli,Bele Oturan,,Askılı,Degaje Yaka,Mor,Askılı,Midi,Regular,Düğün/Nikah,Tekli,100% Polyester,,Polyester,Party,Trend,Midi,Tüm Yaş Grupları,Fermuarlı,Cepsiz,Astarlı,Düz,Orta,Ek Özellik Mevcut Değil,,,Astarlı,,,Kemersiz,,,,,,,,
0,,79,60,90,,,Dress,https://www.trendyol.com/happiness-istanbul/kadin-haki-anvelop-yaka-desenli-yazlik-orme-elbise-ub00267-p-811458271,Örme,Desenli,Comfort,,,,Haki,Kısa,Standart,,,,"95% Polyester, 5% Elastan",,Polyester,,,Uzun,,,,,,,,,,Astarsız,,,,,,,,,,,
0,Uzunluğu,,,,,,Dress,https://www.trendyol.com/mzr-collection/gomlek-yakali-elbise-p-787869921,Dokuma,Çizgili,Bele Oturan,Sexy,Standart Kol,Polo Yaka,Siyah,Uzun,Standart,Regular,Şık / gece,Tekli,"51% Pamuk, 43% Polyester, 5% Viskon, 1% Elastan",Type1,Polyester,Business,Trend,Mini,Tüm Yaş Grupları,Agraflı,Cepsiz,Slip Dress,Düz,Orta,İç Göstermeyen,Organik,,Astarsız,Mesh,Varak,Kemersiz,,Polyester,Chino,,,,,
0,,,,,,,Dress,https://www.trendyol.com/by-eymen-design/kadin-siyah-dusuk-kol-degajeli-drapeli-midi-elbise-p-102781896,Dokuma,Düz,Straplez,Feminine,Düşük Kol,Straplez,Siyah,Kısa,Midi,Bodycone,Şık / gece,Tekli,"0% 92 Polyester, 0% 8 Pamuk",Type1,İpek,Design,Trend,Midi,,,Cepsiz,Astarlı,Düz,Orta,,,,Astarlı,,,,,,,,,,,
0,1.65,,,,,52,Dress,https://www.trendyol.com/missamour/kadin-2-lu-esofman-takim-crop-esofman-alti-takim-p-801503846,Örme,,Comfort,,,,Siyah,,Crop,,,,,,,,Trend,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/afis-butik/siyah-uzun-tul-kol-detayli-drapeli-elbise-p-194345411,Dokuma,Düz,Slim,Feminine,Standart Kol,Kalp Yaka,Siyah,Uzun,Mini,Bodycone,Şık / gece,Tekli,"95% Polyester, 5% Elastan",Type 1,Şifon,Basic,Trend,Mini,21 - 40 Yaş,Fermuarlı,Cepsiz,,Düz,Orta,Yırtmaçlı,,,Astarlı,Tül,,,,,,,,,,
0,S,,,,•Tek,,Dress,https://www.trendyol.com/ilkcetmoda/tasli-kadin-mini-elbise-p-813526919,Dokuma,Desenli,Oversize,,Kolsuz,Bisiklet Yaka,Siyah,Kolsuz,Mini,,Şık / gece,,"95% Polyester, 5% Likra",,Likra,,Gece,Mini,Tüm Yaş Grupları,,,,,İnce,İç Göstermeyen,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/trend-alacati-stili/kadin-saks-polo-yaka-cizgili-maxi-boy-elbise-alc-x11713-p-809077924,Örme,Çizgili,Bodycon,,,Polo Yaka,Lacivert,,Uzun,,,,"70% Pamuk, 30% Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/le-carambole/kadin-siyah-fitilli-uzun-yazlik-polo-yaka-triko-elbise-p-814660663,Triko,Düz,Slim Fit,,Kısa Kol,Polo Yaka,Siyah,Uzun,Uzun,,Casual/Günlük,,,,Pamuk Polyester,,Trend,Maxi,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/trend-alacati-stili/kadin-kirmizi-derin-v-yaka-klos-sandy-elbise-alc-x9420-p-377427311,Dokuma,Düz,Regular,Feminine,Standart Kol,V Yaka,Kırmızı,Uzun,Mini,A-line,Şık / gece,Tekli,"95% Pamuk, 5% Likra",Type 1,Pamuklu,Party,Gece,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Büzgü / Drape,,Orta,Ek Özellik Mevcut Değil,Hayır,,Astarsız,Sandy,Baskısız,Kemersiz,,,,,,,,
0,ElbiseGeri,89,65,91,,51,Dress,https://www.trendyol.com/masspera/kruvaze-yaka-kisa-kol-volanli-kusakli-midi-boy-elbise-p-251822322,Dokuma,Düz,Kruvaze,Cool & Comfort,Kısa Kol,Kruvaze,Siyah,Kısa,Midi,Kruvaze,Şık / gece,Tekli,,type 1,Krep,Prom/Bridesmaid,Trend,Midi,21 - 40 Yaş,Kuşaklı,Cepsiz,Kuşaklı,Düz,Orta,İç Göstermeyen,Hayır,,Astarsız,Krep,Baskısız,Kuşaklı,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/viyamo/kadin-kisa-kollu-kruvaze-yaka-krep-elbise-kemersiz-p-692786567,,Düz,Kruvaze,,,Kruvaze,Siyah,Kısa,Mini,,Party,,,,,,,Midi,,Kapamasız,,,,,,,,,Krep,,,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/khar/isabelle-askili-uzun-elbise-p-808544306,Örme,,Kalem,,Askılı,,Siyah,Askılı,Uzun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/my-cherie/zincirli-buyuk-kusgozu-detayli-deri-bustiyer-etek-seksi-takim-p-797084406,Suni Deri,Düz,Fitted,Sexy,Kolsuz,Straplez,Siyah,Askılı,Mini,,Homewear,2'li,"90% Polyester, 10% Elastan",,Suni Deri,,Trend,Mini,Tüm Yaş Grupları,Kemer Tokası,Cepsiz,Zincir,Düz,İnce,Beli lastikli,,,Astarsız,,Baskısız,Kemerli,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/isilda-fashion/kadin-giyim-askili-cicek-desenli-mini-elbise-p-719110976,Dokuma,Çiçekli,Regular,Cool & Comfort,Askılı,Kare Yaka,Mavi,Askılı,Mini,Eteği Fırfırlı,Casual/Günlük,Tekli,"90% Polyester, 10% Elastan",Type 1,,Basic,Günlük,Mini,Tüm Yaş Grupları,,Cepsiz,,Baskılı,İnce,Ek Özellik Mevcut Değil,Hayır,,Astarsız,,Dijital Baskı,Kemersiz,,,,,,,,
0,170,82,61,,S/36,54,Dress,https://www.trendyol.com/alleyta/kadin-straplez-sortlu-sandy-astarli-kisa-elbise-p-798677355,Örme,Düz,Bele Oturan,Sexy,İspanyol Kol,V Yaka,Siyah,Uzun,Standart,Basic,Mezuniyet/Balo,Tekli,,type 1,Polyester Karışımlı,Party,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Lastikli Bel,Düz,Orta,İç Göstermeyen,Hayır,,Astarlı,Sandy,Baskısız,Kemersiz,,,,,,,,
0,,,,,,50Model,Dress,https://www.trendyol.com/zdaboutique/elegance-dik-yaka-drapeli-etek-yirtmac-kadin-elbise-p-811207183,Dokuma,Düz,Comfort,Cool & Comfort,Kolsuz,Dik Yaka,Siyah,Kolsuz,166,Kruvaze,Düğün/Nikah,Tekli,,,Poliamid Karışımlı,Prom/Bridesmaid,Trend,Maxi,,Kapamasız,Cepsiz,Büzgü / Drape,Düz,İnce,İç Göstermeyen,Recycle+Organik,,Astarsız,Sandy,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/lia-liv/kadin-zebra-desenli-askili-derin-yirtmacli-burumcuk-krinkil-yazlik-elbise-p-735261222,Örme,Zebra,Super Slim Fit,Young,İnce Askılı,Kare Yaka,Beyaz,Kolsuz,Midi,Slim,Young,Tekli,,,Pamuk-Polyester-Elastan,Young,Trend,,,Kapamasız,Cepsiz,,Baskılı,İnce,İç Göstermeyen,,,Astarsız,Bürümcük,,Kemersiz,,Polyester,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/magaza/selime-dogan-m-104803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/selime-dogan/elbise-p-729017818?merchantId=104803,Dokuma,Çiçekli,A-line,,,Halter Yaka,Turuncu,Kolsuz,Standart,A-line,Casual/Günlük,,100% VİSKON,Type 1,Viskon,,,Maxi,Tüm Yaş Grupları,,,,,,,,,Astarsız,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/selime-dogan/straplez-gorunumlu-kadin-gomlek-bluz-p-781536832?merchantId=104803,Dokuma,Ekose / Kareli,Regular,Fashion Forward,Standart Kol,Straplez,Siyah,Uzun,Standart,,Business,Tekli,,Type1,,Basic,Günlük,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/selime-dogan/oversize-keten-gomlek-p-737155406?merchantId=104803,Dokuma,Düz,Oversize,,Standart Kol,Gömlek Yaka,Beyaz,Uzun,Standart,,,,100% Pamuk,,Pamuk,,,,Tüm Yaş Grupları,,Cepsiz,,Düz,,,,,,,,,,,,Oversize,,,,
0,,,,,,,Dress,https://www.trendyol.com/selime-dogan/etegi-sulu-desenli-kruvaze-yaka-elbise-p-814674188?merchantId=104803,Dokuma,,Regular,,,,Mavi,,Standart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/by-serkan-design/kadin-siyah-straplez-kesim-yirtmacli-ipek-jarse-maxi-elbise-p-466175874,Örme,,Straplez,Sexy,Straplez,Straplez,Siyah,Kolsuz,Uzun,,Şık / gece,Tekli,"0% 8 Pamuk, 0% 92 Polyester",Type 1,Pamuk Polyester,,Gece,Uzun,Tüm Yaş Grupları,,,,,,Yırtmaçlı,,,,,,,,,,,,,,
0,1.65,,,,,52,Dress,https://www.trendyol.com/missamour/kadin-siyah-u-yaka-dugmeli-yirtmacli-fitlilli-elbise-p-810722888,Örme,,Comfort,,,U Yaka,Siyah,,Mini,,,,,,,,Trend,,Tüm Yaş Grupları,Düğmeli,,,,,Yırtmaçlı,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/didem-butik/siyah-ozel-tasarim-basic-gunluk-elbise-fiyonklu-elbise-ic-astarli-elbise-p-810588645,Dokuma,Düz,Regular,Feminine,Kısa Kol,Bisiklet Yaka,Siyah,Kısa,Standart,Basic,Günlük,,,,Pamuklu,Basic,Günlük,Regular,Tüm Yaş Grupları,Fermuarlı,Cepsiz,Astarlı,Düz,Orta,İç Göstermeyen,,,Astarlı,,Baskısız,Kemersiz,,Polyester,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/live-sport/kadin-mini-boy-balon-kollu-krep-elbise-p-822793187,Örme,,Regular,Fashion Forward,Büzgülü/Fırfırlı Kol,Kare Yaka,Lacivert,Kısa,Mini,Regular,Casual/Günlük,,"95% Polyester, 5% Elestan",,Polyester Karışımlı,,Günlük,Mini,Tüm Yaş Grupları,,Cepsiz,,Düz,Orta,,Hayır,,Astarsız,Krep,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/buglem-home/siyah-sifir-yaka-midi-fitilli-kalem-elbise-113cm-p-374723272,Örme,,Kalem,,Kolsuz,Bisiklet Yaka,Siyah,Kolsuz,Kısa,,Casual/Günlük,Tekli,"95% Pamuk, 5% Likra",Type 1,Pamuklu,,Günlük,Uzun,,,,,Düz,İnce,Yırtmaçlı,,,,Kaşkorse,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/brood/papatya-desenli-yirtmacli-askili-burumcuk-elbise-p-714315733,Dokuma,Çiçekli,Bele Oturan,Cool & Comfort,Askılı,Havuz Yaka,Mavi,Askılı,Midi,Balık,Şık / gece,Tekli,,type 1,Polyester Karışımlı,Young,Günlük,Midi,Tüm Yaş Grupları,Bağcıklı,Cepsiz,Yırtmaçlı,İpliği Boyalı,Orta,Yırtmaçlı,Organik,,Astarsız,Bürümcük,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/luvita-co/luvita-drop-shoulder-tasarim-elbise-p-789262248,Dokuma,Düz,Bele Oturan,Sexy,Düşük Kol,Kayık Yaka,Siyah,Kısa,Mini,A-line,Şık / gece,Tekli,,Type 1,Poliamid Karışımlı,Party,Gece,Mini,Tüm Yaş Grupları,Fermuarlı,Cepsiz,,Düz,Orta,İç Göstermeyen,Hayır,,Astarlı,,Baskısız,Kemersiz,,,,,,,,
0,,79,60,90,,,Dress,https://www.trendyol.com/happiness-istanbul/kadin-siyah-kare-yaka-a-kesim-elbise-dk00169-p-817265981,Dokuma,,Regular,,Askılı,Kare Yaka,Siyah,Askılı,Standart,,,,"95% Polyester, 5% Viskon",,Polyester,,,,,Fermuarlı,,,,,,,,Astarsız,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-lacivert-kolsuz-etegi-firfirli-elbise-arm-18y001156-p-3290820,Dokuma,Düz,Relaxed,Traditional,Standart Kol,Bisiklet Yaka,Lacivert,Kolsuz,Midi,Eteği Fırfırlı,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Christmas,Günlük,Midi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/sari-etiket/cicek-desenli-pileli-mini-elbise-p-809967578,Dokuma,Desenli,Regular,,,,Lacivert,,Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,S/36,,Dress,https://www.trendyol.com/havos/siyah-favor-desenli-elbise-p-820625883,Örme,Desenli,Regular,Cool & Comfort,Standart Kol,V Yaka,Siyah,Uzun,Kısa,Regular,Casual/Günlük,Tekli,100% Polyester,30 derecede yıkama sağlanabilir,Polyester,Basic,Trend,Mini,Tüm Yaş Grupları,Kuşaklı,Cepsiz,Bağlama Detay,Düz,Orta,Saten,Evet,,Astarsız,Saten,Baskısız,Kemersiz,,Polyester,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/people-by-fabrika/bej-kadin-elbise-pfkss22el0196-p-446120835,,,,,,,Bej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-siyah-beli-kemerli-kisa-kol-gomlek-elbise-arm-19y001068-p-6119709,Dokuma,Düz,Regular,Cool & Comfort,Standart Kol,Dik Yaka,Siyah,Kısa,Midi,Gömlek Elbise,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Christmas,Günlük,Midi,Tüm Yaş Grupları,,,Kemerli,,,,,,,,,,,,,,,,,
0,,79,60,90,,,Dress,https://www.trendyol.com/happiness-istanbul/kadin-siyah-askili-yazlik-uzun-orme-elbise-dz00078-p-669039915,Örme,Düz,Regular,,Standart Kol,Kare Yaka,Siyah,Askılı,Midi,A-line,Casual/Günlük,Tekli,"50% Polyester, 50% Pamuk",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Pamuklu,Basic,Günlük,Uzun,Tüm Yaş Grupları,,,,Düz,Orta,Yıkamalı,,,Astarsız,,,,,,,,,,,
0,ölçüsü,,,,,,Dress,https://www.trendyol.com/bluewhite/kadin-bej-dugmeli-jean-elbise-p-103317341,Denim,,Oversize,,,,Bej,,Standart,,,,"98% Pamuk, 2% Elastan",,Denim,,Günlük,,,Düğmeli,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/mango/bag-detayli-cicekli-elbise-p-822182308,Örme,,Regular,,,,Beyaz,,Standart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-bej-buyuk-cicekli-beli-kemerli-kisa-kol-gomlek-elbise-arm-22y001007-p-822357007,Dokuma,Çiçekli,Regular,,Standart Kol,Dik Yaka,Bej,Kısa,Midi,Gömlek Elbise,Casual/Günlük,Tekli,"60% Viskoz, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Christmas,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/afis-butik/saks-mavi-karpuz-kollu-midi-boy-elbise-p-749966646,Dokuma,Düz,Bele Oturan,Cool & Comfort,Kısa Kol,Bisiklet Yaka,Lacivert,Kısa,Midi,A-line,Şık / gece,Tekli,"95% Polyester, 5% Elastan",T1,,Basic,Trend,Midi,,Fermuarlı,Cepsiz,,,Orta,,,,Astarsız,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/intensive/puantiyeli-lacivert-biye-detayli-cepli-pamuklu-elbise-p-796124696,Örme,Puantiyeli,Straight,Cool & Comfort,Askılı,,Lacivert,Askılı,Standart,A-line,Homewear,Tekli,"50% Pamuk, 50% Modal",Type 1,,Basic,,Regular,,,Çift,Biyeli,,,,,,,,Baskısız,Kemersiz,,,Çift Kapaklı,,,,,
0,,,,,,,Dress,https://www.trendyol.com/olalook/kadin-cok-renkli-gipeli-salas-dokuma-viskon-elbise-elb-19001483-p-122035154,Dokuma,Çiçekli,Regular,Cool & Comfort,Balon Kol,Kare Yaka,Çok Renkli,Kısa,Midi,A-line,Casual/Günlük,Tekli,100% Viskon,• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon,Basic,Günlük,Maxi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/world-fashion-trends/yirtmac-detayli-kare-yaka-sirt-dekolteli-maxi-elbise-p-790861909,Örme,Düz,Fitted,Sexy,Uzun Kol,Kare Yaka,Siyah,Uzun,Uzun,Basic,Günlük,Tekli,,Type 1,,,Günlük,Maxi,,,,Yırtmaçlı,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/avones/kadin-hindistan-ceviz-desenli-pamuk-suprem-mini-elbise-p-736006186,Örme,Desenli,Relaxed,Fashion Forward,Kolsuz,,Lacivert,Kolsuz,Mini,,Gündüz / Gece,Tekli,"95% viskon, 5% Likra",Type 1,Viskon,,Klasik,Midi,Tüm Yaş Grupları,,Cepsiz,,Düz,İnce,İç Göstermeyen,,,Astarsız,Süprem,Baskısız,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/barbora/keten-gunluk-ikili-takim-elbise-pantolon-gomlek-ln21haki-p-806182095,Örme,,Oversize,,,,Haki,,Standart,,Günlük,,,,,,Günlük,,,,,,,,,,,,,,,,,,,,,,
